title	keyword	ASTEXT(locations.geometry)
九州、震度６相次ぐ——早期救助へ３万人態勢、首相「夜を徹して支援」。	九州	POINT(32.6453356 130.958688)
九州、震度６相次ぐ、熊本、死者４１人に、Ｍ７．３「本震」被害拡大、大分でも避難者。	九州	POINT(32.6453356 130.958688)
九州・沖縄景況判断　３０か月連続据え置く　４月、日銀福岡支店	九州	POINT(32.6453356 130.958688)
九州北部、地震で地盤緩んだ可能性、大雨警報「避難早めに」。	九州	POINT(32.6453356 130.958688)
九州男児・村田が決勝打、巨人、連日の接戦制す。	九州	POINT(32.6453356 130.958688)
九州関連のプロ野球・サッカー中止。	九州	POINT(32.6453356 130.958688)
【熊本地震】厳しい基準　川内原発「問題なし」	基準 川内原発	POINT(31.8335889 130.1893291)
【熊本地震】国土地理院、ドローンで撮影　ＨＰで動画公開	国土地理院	POINT(36.1045573 140.0849097)
【熊本地震】国土地理院、ドローンで撮影　ＨＰで動画公開	ドローン	POINT(35.562128 139.483964)
【熊本地震】家屋倒壊、母が夫が…　犠牲者は川沿いに集中	家屋	POINT(23.0484004 120.1771259)
【熊本地震】家屋倒壊、母が夫が…　犠牲者は川沿いに集中	沿い	POINT(34.8681307 135.5899687)
【熊本地震】広がる被災地支援　渋谷区は毛布１７００枚	渋谷区	POINT(35.6617773 139.7040506)
【熊本地震】日産やソニー、現地工場休止	現地工場	POINT(33.3668138 130.502339)
【熊本地震】海外から支援・見舞う声	海外	POINT(35.1464732 139.6179927)
【熊本地震】消えた橋　運動場に「ＳＯＳ」	橋 運動場	POINT(34.923222 137.1182157)
【熊本地震】温泉に泥水…観光地直撃	観光地	POINT(42.8009763 141.326682)
【熊本地震】熊本城で長塀１００メートル倒壊	熊本城	POINT(32.8061859 130.7058335)
【熊本地震】空からルポ　えぐれた山、大地に亀裂	大地	POINT(35.2733285 136.8627264)
【熊本地震】脱線新幹線、きょうにも撤去開始	脱線	POINT(22.897063 121.095726)
【熊本地震】阿蘇神社の重文倒壊　日赤発祥の洋館も全壊	洋館	POINT(35.662104 139.680097)
【熊本地震】阿蘇神社の重文倒壊　日赤発祥の洋館も全壊	阿蘇神社	POINT(32.947987 131.115884)
【熊本地震】陥没した道路、屋根瓦が崩落　空から見た益城	道路	POINT(35.6982756 139.7493084)
【熊本地震】震源が北東側へ移動　異例の広域連鎖、拡大も	北東側	POINT(37.4715186 118.5757468)
【直球緩球】東急電鉄社長・野本弘文氏　二子玉川から情報発信	二子玉川	POINT(35.6148277 139.626083)
【科学】巨大ブラックホール、予想外の場所で発見	場所	POINT(33.559541 133.581785)
【科学】巨大ブラックホール、予想外の場所で発見	ブラックホール	POINT(37.554874 139.9483337)
【科学】Ｘ線天文学に暗雲　衛星ひとみ、厳しい復旧　「日本のお家芸」に危機	X線天文学	POINT(34.6471286 134.9996562)
【移住のススメ】長野県茅野市　１カ月単位で体験住宅	茅野市	POINT(35.9955706 138.158893)
