ひと：小原一真さん＝世界報道写真コンテスト「人物」部門１位	2016/4/15	東京朝刊	6頁	経済面
公選法違反：投票日書き込み、徳永氏起訴猶予　民進・参院議員	2016/4/15	東京朝刊	27頁	社会面
東レ：研究拠点増強	2016/4/15	東京朝刊	7頁	経済面
意識不明：校内でけんか、小４重体　掃除の時間、担任不在　東京・足立	2016/4/15	東京朝刊	27頁	社会面
余録：宇宙は１３８億年前のビッグバンで誕生したという説には…	2016/4/15	東京朝刊	1頁	政治面
韓国総選挙：与党敗北　１６年ぶり少数与党　慰安婦合意に影響も	2016/4/15	東京朝刊	1頁	政治面
熊本地震：震度７　各地の震度	2016/4/15	東京朝刊	1頁	政治面
訃報：大平透さん　８６歳＝声優	2016/4/15	東京朝刊	27頁	社会面
熊本地震：震度７　余震続く恐れ　気象庁	2016/4/15	東京朝刊	1頁	政治面
訃報：坂下俊男さん　９５歳＝元三菱重工業副社長	2016/4/15	東京朝刊	27頁	社会面
訃報：ペンギラン・ユソフさん　９４歳＝元ブルネイ首相、元駐日大使	2016/4/15	東京朝刊	27頁	社会面
雑記帳：昨年８月の「全国高校生そば打ち選手権大会（そば打ち甲子園）」で…	2016/4/15	東京朝刊	27頁	社会面
熊本地震：震度７　横ずれ断層、震源	2016/4/15	東京朝刊	2頁	二面
熊本地震：震度７　政府、官邸対策室設置	2016/4/15	東京朝刊	2頁	二面
難民問題：ヨルダンに３００万人　「ホスト国」悲鳴　「職失い、教育・医療負担大」	2016/4/15	東京朝刊	8頁	国際面
熊本地震：震度７　東日本大震災以来　２人死亡、１００人けが	2016/4/15	東京朝刊	1頁	政治面
ウクライナ：最高会議議長、新首相に承認	2016/4/15	東京朝刊	9頁	国際面
丹下日出夫のズバッと：Ｇ１　中山１１Ｒ・皐月賞　（日曜競馬）	2016/4/16	東京夕刊	5頁	運動面
松沢一憲のＶライン：Ｇ１　距離ベスト、リオンディーズ　（日曜競馬）	2016/4/16	東京夕刊	5頁	運動面
競馬ジャーニー：母がオークスで接戦の息子３頭が激突＝鈴木淑子　（日曜競馬）	2016/4/16	東京夕刊	5頁	運動面
満月の泥枕：／８７＝道尾秀介　山本重也・画	2016/4/16	東京夕刊	5頁	運動面
次代へのバトン：レジェンドインタビュー　自転車　新城幸也	2016/4/16	東京夕刊	4頁	運動面
ラグビー：スーパーラグビー　サンウルブズが９２失点で７連敗	2016/4/16	東京夕刊	4頁	運動面
ラグビー：スーパーラグビー　「彼らはひどい状態」　エディー監督、サンウルブズ酷評	2016/4/16	東京夕刊	4頁	運動面
熊本地震：悪夢、連夜の激震　もう嫌、住民疲弊（その１）	2016/4/16	東京夕刊	7頁	社会面
米大リーグ：カブス・川崎、３Ａに降格	2016/4/16	東京夕刊	4頁	運動面
熊本地震：原発異常なし	2016/4/16	東京夕刊	2頁	芸能面
社会人野球：ＪＡＢＡ日立市長杯　ホンダ熊本、棄権　地震で帰る	2016/4/16	東京夕刊	4頁	運動面
熊本地震：米軍の支援を受け入れ検討　防衛相が指示	2016/4/16	東京夕刊	2頁	芸能面
Ｇ２０：税逃れ阻止へ対抗措置　声明採択し閉幕	2016/4/16	東京夕刊	2頁	芸能面
社告：熊本地震　被災者救援金受け付け	2016/4/16	東京夕刊	7頁	社会面
ルー米財務長官：円高「無秩序じゃない」　日米、認識に差	2016/4/16	東京夕刊	2頁	芸能面
憂楽帳：汗血馬	2016/4/16	東京夕刊	7頁	社会面
北朝鮮：ミサイル発射　「強く非難」「明白な違反」　安保理声明	2016/4/16	東京夕刊	2頁	芸能面
熊本地震：悪夢、連夜の激震　もう嫌、住民疲弊（その２止）	2016/4/16	東京夕刊	6頁	社会面
トップニュース：１５日	2016/4/16	東京夕刊	2頁	芸能面
ＷＡＤＡ：検査所認定を正式取り消し	2016/4/16	東京夕刊	4頁	運動面
かすみがうらマラソン：いっしょに走ろう／下　痛みケア、実習の場	2016/4/16	東京夕刊	4頁	運動面
熊本地震：本震、前震の１６倍　「阪神」匹敵する規模	2016/4/16	東京夕刊	2頁	芸能面
熊本地震：自衛隊２万人態勢に	2016/4/16	東京夕刊	2頁	芸能面
ことば：茨城県立医療大学	2016/4/16	東京夕刊	4頁	運動面
熊本地震：横ずれ１．８メートル確認　布田川断層沿い７キロ　益城町	2016/4/16	東京夕刊	2頁	芸能面
囲碁：阿含・桐山杯第２３期全日本早碁オープン戦　坂口隆三九段−江村棋弘アマ　第２譜	2016/4/16	東京夕刊	4頁	運動面
熊本地震：今夜大雨の予報　土砂災害懸念　「早めの避難を」	2016/4/16	東京夕刊	6頁	社会面
将棋：第７４期名人戦順位戦　豊島将之七段−三浦弘行九段　第６譜	2016/4/16	東京夕刊	4頁	運動面
阿蘇山：小規模噴火　地震と関連のデータなし　気象庁	2016/4/16	東京夕刊	6頁	社会面
熊本地震：傷つく古里	2016/4/16	東京夕刊	3頁	総合面
熊本地震：北東へ拡大に、気象庁戸惑い	2016/4/16	東京夕刊	6頁	社会面
熊本地震：入院患者、他病院へ搬送へ　熊本市民病院	2016/4/16	東京夕刊	6頁	社会面
熊本地震：プロ野球やＪ１、相次いで中止に	2016/4/16	東京夕刊	6頁	社会面
近事片々：止まれ、と天にも地にも叫びたい…	2016/4/16	東京夕刊	1頁	政治面
熊本地震：３地域で同時多発的	2016/4/16	東京夕刊	1頁	政治面
熊本地震：Ｍ７．３「本震」　未明６強、１９人死亡　阿蘇、大分でも続発	2016/4/16	東京夕刊	1頁	政治面
長部日出雄の映画と私の昭和：「楢山節考」（日本・１９５８年）	2016/4/16	東京朝刊	15頁	文化面
Ｔｏｐｉｃｓ：「縁結び」「シジミ」「松江城」…島根の魅力とは	2016/4/16	東京朝刊	15頁	文化面
母と乳：第３部　生後のリスク／下　「お母さんは寝ないもの」	2016/4/16	東京朝刊	19頁	家庭面
危機の真相：パナマ文書　人はなぜ税金を払うのか＝浜矩子	2016/4/16	東京朝刊	11頁	内政面
荒俣宏の毎日コレ検索：東京日日新聞創刊　明治六年改暦のマジック？	2016/4/16	東京朝刊	14頁	文化面
女の気持ち：夫のひとこと　浜松市・別所綾子（予備校職員・３９歳）	2016/4/16	東京朝刊	19頁	家庭面
新・コンサートを読む：プレガルディエンとゲースの“水車屋の娘”＝梅津時比古	2016/4/16	東京朝刊	14頁	文化面
みんなの広場：震度７の大地震を経験して＝高校生・稲岡会連・１８	2016/4/16	東京朝刊	11頁	内政面
食卓の一品：手羽元とニンニクの煮物	2016/4/16	東京朝刊	19頁	家庭面
みんなの広場：幸せな自分に全く気づかず＝大学生・磯山友希・２０	2016/4/16	東京朝刊	11頁	内政面
みんなの広場：米大統領、被爆者の声聞いて＝会社員・矢吹正道・４８	2016/4/16	東京朝刊	11頁	内政面
みんなの広場：「隔離の傷痕」読み思い出し＝主婦・柳原欣子・７７	2016/4/16	東京朝刊	11頁	内政面
我らがパラダイス：／９５　八　まずやってみよう／３＝林真理子　横尾智子・画	2016/4/16	東京朝刊	19頁	家庭面
メディア時評：ニュースの８要素　充実の紙面＝前泊博盛・沖縄国際大教授（基地経済論）	2016/4/16	東京朝刊	11頁	内政面
視聴室：新番組・お迎えデス。	2016/4/16	東京朝刊	30頁	芸能面
知る見るＢＳ：激戦区の午後１０時台報道番組	2016/4/16	東京朝刊	13頁	芸能面
社説：熊本地震　活断層が動く恐ろしさ	2016/4/16	東京朝刊	5頁	内政面
熊本地震：爪痕、深く	2016/4/16	東京朝刊	4頁	特集面
マラソン：野口「走り切れた」　引退会見	2016/4/16	東京朝刊	21頁	運動面
社説：次期国連総長　大国に物言える人物を	2016/4/16	東京朝刊	5頁	内政面
マラソン：野口「走り切れた」　引退会見　高橋尚子さんの話	2016/4/16	東京朝刊	21頁	運動面
ＴＰＰ：審議日程厳しく　熊本地震対応、会期小幅延長論も	2016/4/16	東京朝刊	5頁	内政面
熊本地震：車部品供給に支障　トヨタ系工場停止　九州以外にも影響拡大	2016/4/16	東京朝刊	7頁	経済面
プロ野球：ソフトバンク３−２楽天　被災者思い、５連勝	2016/4/16	東京朝刊	21頁	運動面
